location,path,name,size_kb,keyword_count,keywords
DeVonDaTa,/Volumes/DeVonDaTa/PDF/Tactical Income Roadmap for Steven’s Python Automation Projects-Pt1.pdf,Tactical Income Roadmap for Steven’s Python Automation Projects-Pt1.pdf,47.697265625,3,"python, automation, steven"
2T-Xx,/Volumes/2T-Xx/steven/Pictures/Move/Steven_Chaplinski_typography_design_forbased_o.pdf,Steven_Chaplinski_typography_design_forbased_o.pdf,1280.1689453125,2,"chaplinski, steven"
2T-Xx,/Volumes/2T-Xx/steven/Pictures/etsy/mydesign-uplive/Steven_Chaplinski_Fumingation_Checklist (1).pdf,Steven_Chaplinski_Fumingation_Checklist (1).pdf,877.9853515625,2,"chaplinski, steven"
2T-Xx,/Volumes/2T-Xx/steven/Documents/Steven-Chaplinski.pdf,Steven-Chaplinski.pdf,44.19921875,2,"chaplinski, steven"
2T-Xx,/Volumes/2T-Xx/steven/Documents/craft/PDFs/Imported Notes/Python_Script_Classifier_Automation.pdf,Python_Script_Classifier_Automation.pdf,44.2490234375,2,"python, automation"
2T-Xx,/Volumes/2T-Xx/steven/Documents/PDF/StevenJacobChaplinski-PersonalNumerologyReport-EC.pdf,StevenJacobChaplinski-PersonalNumerologyReport-EC.pdf,145.91796875,2,"chaplinski, steven"
2T-Xx,/Volumes/2T-Xx/steven/Documents/HTML/ichoake.github.io-main/docs/steven-chaplinski-xray.pdf,steven-chaplinski-xray.pdf,1174.3583984375,2,"chaplinski, steven"
2T-Xx,/Volumes/2T-Xx/steven/Documents/HTML/ichoake.github.io/docs/steven-chaplinski-xray.pdf,steven-chaplinski-xray.pdf,1174.3583984375,2,"chaplinski, steven"
2T-Xx,/Volumes/2T-Xx/steven/Documents/CoH-Story/cohpdf/pdf/StevenJacobChaplinski-PersonalNumerologyReport-EC.pdf,StevenJacobChaplinski-PersonalNumerologyReport-EC.pdf,145.91796875,2,"chaplinski, steven"
2T-Xx,/Volumes/2T-Xx/steven/Documents/pdfs/StevenJacobChaplinski-PersonalNumerologyReport-EC.pdf,StevenJacobChaplinski-PersonalNumerologyReport-EC.pdf,145.91796875,2,"chaplinski, steven"
2T-Xx,/Volumes/2T-Xx/steven/Documents/Documents/pdfs/Library/Messages/Attachments/70/00/4B9FFAFF-934B-474D-AF47-73AB3A0E9ECB/StevenJacobChaplinski-PersonalNumerologyReport-EC.pdf,StevenJacobChaplinski-PersonalNumerologyReport-EC.pdf,145.91796875,2,"chaplinski, steven"
2T-Xx,/Volumes/2T-Xx/steven/Downloads/Document/steven-chaplinski-linkd.pdf,steven-chaplinski-linkd.pdf,46.462890625,2,"chaplinski, steven"
2T-Xx,/Volumes/2T-Xx/steven/Downloads/Downloads/Document/steven-chaplinski-linkd.pdf,steven-chaplinski-linkd.pdf,46.462890625,2,"chaplinski, steven"
2T-Xx,/Volumes/2T-Xx/Documents/Steven_Chaplinski_Fumingation_Checklist.pdf,Steven_Chaplinski_Fumingation_Checklist.pdf,877.9853515625,2,"chaplinski, steven"
DeVonDaTa,/Volumes/DeVonDaTa/Archived_Projects/Backup_Data/Backups/Documents/Steven-Chaplinski.pdf,Steven-Chaplinski.pdf,44.19921875,2,"chaplinski, steven"
DeVonDaTa,/Volumes/DeVonDaTa/Archived_Projects/Backup_Data/Backups/Documents/craft/PDFs/Imported Notes/Python_Script_Classifier_Automation.pdf,Python_Script_Classifier_Automation.pdf,44.2490234375,2,"python, automation"
DeVonDaTa,/Volumes/DeVonDaTa/Archived_Projects/Backup_Data/Backups/Documents/HTML/ichoake.github.io-main/docs/steven-chaplinski-xray.pdf,steven-chaplinski-xray.pdf,1174.3583984375,2,"chaplinski, steven"
DeVonDaTa,/Volumes/DeVonDaTa/PDF/Steven-Chaplinski_1.pdf,Steven-Chaplinski_1.pdf,44.19921875,2,"chaplinski, steven"
DeVonDaTa,/Volumes/DeVonDaTa/PDF/steven-chaplinski-xray_1.pdf,steven-chaplinski-xray_1.pdf,1174.3583984375,2,"chaplinski, steven"
DeVonDaTa,/Volumes/DeVonDaTa/PDF/python _Users_steven_Music_nocTurneMeLoDieS_mp3-an.pdf,python _Users_steven_Music_nocTurneMeLoDieS_mp3-an.pdf,1863.857421875,2,"python, steven"
DeVonDaTa,/Volumes/DeVonDaTa/PDF/weather_steven_chaplinski_010924.pdf,weather_steven_chaplinski_010924.pdf,30.17578125,2,"chaplinski, steven"
DeVonDaTa,/Volumes/DeVonDaTa/PDF/Python_Script_Classifier_Automation_1.pdf,Python_Script_Classifier_Automation_1.pdf,44.2490234375,2,"python, automation"
DeVonDaTa,/Volumes/DeVonDaTa/PDF/LinkedIn_Optimization_Brand_Strategy_for_Steven_Chaplinski.pdf,LinkedIn_Optimization_Brand_Strategy_for_Steven_Chaplinski.pdf,43.7099609375,2,"chaplinski, steven"
2T-Xx,/Volumes/2T-Xx/steven/Music/Suno-Music/6-17/2222_Li_Chaplinski_RENEWAL (1).pdf,2222_Li_Chaplinski_RENEWAL (1).pdf,509.6552734375,1,chaplinski
2T-Xx,/Volumes/2T-Xx/steven/Music/Suno-Music/6-17/2222_Li_Chaplinski_RENEWAL.pdf,2222_Li_Chaplinski_RENEWAL.pdf,538.5419921875,1,chaplinski
2T-Xx,/Volumes/2T-Xx/steven/Pictures/Move/avatararts-removebg-preview.pdf,avatararts-removebg-preview.pdf,402.154296875,1,avatararts
2T-Xx,/Volumes/2T-Xx/steven/Pictures/Move/AvaTarArTs_logo_typography_design_zomBot_Crea (2).pdf,AvaTarArTs_logo_typography_design_zomBot_Crea (2).pdf,1786.3876953125,1,avatararts
2T-Xx,/Volumes/2T-Xx/steven/Pictures/Kaiber/ResumePDF FinAL 2021.pdf,ResumePDF FinAL 2021.pdf,137.4609375,1,resume
2T-Xx,/Volumes/2T-Xx/steven/Pictures/pdf/tiktok-bestselling-automation.pdf,tiktok-bestselling-automation.pdf,920.787109375,1,automation
2T-Xx,/Volumes/2T-Xx/steven/Movies/Uploading Videos to YouTube Using Python and OAuth 2.0_ A Step-by-Step Guide with Reauthentication _ by Py-Core Python Programming _ Python in P.pdf,Uploading Videos to YouTube Using Python and OAuth 2.0_ A Step-by-Step Guide with Reauthentication _ by Py-Core Python Programming _ Python in P.pdf,14245.6806640625,1,python
2T-Xx,/Volumes/2T-Xx/steven/Documents/craft/PDFs/Imported Notes/Automated_Python_Script_Classi_2025-03-29_10_03_56.pdf,Automated_Python_Script_Classi_2025-03-29_10_03_56.pdf,389.7529296875,1,python
2T-Xx,/Volumes/2T-Xx/steven/Documents/craft/PDFs/Imported Notes/Automated Python Script Classification System_2025-03-29T09-54-21.pdf,Automated Python Script Classification System_2025-03-29T09-54-21.pdf,64.318359375,1,python
2T-Xx,/Volumes/2T-Xx/steven/Documents/craft/PDFs/Imported Notes/Automated_Python_Script_Classi_2025-03-29_09_55_18.pdf,Automated_Python_Script_Classi_2025-03-29_09_55_18.pdf,60.19140625,1,python
2T-Xx,/Volumes/2T-Xx/steven/Documents/craft/PDFs/Imported Notes/MacAutomation_Insights_2025.pdf,MacAutomation_Insights_2025.pdf,964.390625,1,automation
2T-Xx,/Volumes/2T-Xx/steven/Documents/craft/PDFs/Imported Notes/Automated Python Script Classification System_2025-03-29T09-52-21.pdf,Automated Python Script Classification System_2025-03-29T09-52-21.pdf,61.763671875,1,python
2T-Xx,/Volumes/2T-Xx/steven/Documents/craft/PDFs/Imported Notes/MacAutomation_Insights_2025-QKULnftiXZ.pdf,MacAutomation_Insights_2025-QKULnftiXZ.pdf,1638.4697265625,1,automation
2T-Xx,/Volumes/2T-Xx/steven/Documents/PDF/Uploading Videos to YouTube Using Python and OAuth 2.0_ A Step-by-Step Guide with Reauthentication _ by Py-Core Python Programming _ Python in P.pdf,Uploading Videos to YouTube Using Python and OAuth 2.0_ A Step-by-Step Guide with Reauthentication _ by Py-Core Python Programming _ Python in P.pdf,14245.6806640625,1,python
2T-Xx,/Volumes/2T-Xx/steven/Documents/PDF/Automate The Boring Stuff With Python Practical Programming For Total Beginners copy.pdf,Automate The Boring Stuff With Python Practical Programming For Total Beginners copy.pdf,0.234375,1,python
2T-Xx,/Volumes/2T-Xx/steven/Documents/PDF/the_prompt_engineering_cheat_sheet.pdf,the_prompt_engineering_cheat_sheet.pdf,6431.341796875,1,engineer
2T-Xx,/Volumes/2T-Xx/steven/Documents/PDF/Chaplinski Lease Renewal Doc.pdf,Chaplinski Lease Renewal Doc.pdf,216.5703125,1,chaplinski
2T-Xx,/Volumes/2T-Xx/steven/Documents/PDF/steven-bio-Profile.pdf,steven-bio-Profile.pdf,49.4921875,1,steven
2T-Xx,/Volumes/2T-Xx/steven/Documents/PDF/2222_Li_Chaplinski_RENEWAL.pdf,2222_Li_Chaplinski_RENEWAL.pdf,538.5419921875,1,chaplinski
2T-Xx,/Volumes/2T-Xx/steven/Documents/markD_backup/merged/merged_0-33-40-Organize_PNG_images_Python_.pdf,merged_0-33-40-Organize_PNG_images_Python_.pdf,412.4033203125,1,python
2T-Xx,/Volumes/2T-Xx/steven/Documents/HTML/responsive-mini-portfolio/assets/pdf/CV - Dimas Yusuf Qurohman.pdf,CV - Dimas Yusuf Qurohman.pdf,37.92578125,1,cv
2T-Xx,/Volumes/2T-Xx/steven/Documents/markD/Automation-Sora-epic-2025-04-29.pdf,Automation-Sora-epic-2025-04-29.pdf,478.2490234375,1,automation
2T-Xx,/Volumes/2T-Xx/steven/Documents/pdfs/2222_Li_Chaplinski_RENEWAL.pdf,2222_Li_Chaplinski_RENEWAL.pdf,538.5419921875,1,chaplinski
2T-Xx,/Volumes/2T-Xx/us.sitesucker.mac.sitesucker-pro/alinpanaitiu.com/resume.pdf,resume.pdf,3612.3134765625,1,resume
2T-Xx,/Volumes/2T-Xx/etsy/Prompt-Engineering-Lecture-Elvis.pdf,Prompt-Engineering-Lecture-Elvis.pdf,3090.763671875,1,engineer
DeVonDaTa,/Volumes/DeVonDaTa/Archived_Projects/Backup_Data/Backups/Documents/craft/PDFs/Imported Notes/Automated_Python_Script_Classi_2025-03-29_10_03_56.pdf,Automated_Python_Script_Classi_2025-03-29_10_03_56.pdf,389.7529296875,1,python
DeVonDaTa,/Volumes/DeVonDaTa/Archived_Projects/Backup_Data/Backups/Documents/craft/PDFs/Imported Notes/Automated Python Script Classification System_2025-03-29T09-54-21.pdf,Automated Python Script Classification System_2025-03-29T09-54-21.pdf,64.318359375,1,python
DeVonDaTa,/Volumes/DeVonDaTa/Archived_Projects/Backup_Data/Backups/Documents/craft/PDFs/Imported Notes/Automated_Python_Script_Classi_2025-03-29_09_55_18.pdf,Automated_Python_Script_Classi_2025-03-29_09_55_18.pdf,60.19140625,1,python
DeVonDaTa,/Volumes/DeVonDaTa/Archived_Projects/Backup_Data/Backups/Documents/craft/PDFs/Imported Notes/MacAutomation_Insights_2025.pdf,MacAutomation_Insights_2025.pdf,964.390625,1,automation
DeVonDaTa,/Volumes/DeVonDaTa/Archived_Projects/Backup_Data/Backups/Documents/craft/PDFs/Imported Notes/Automated Python Script Classification System_2025-03-29T09-52-21.pdf,Automated Python Script Classification System_2025-03-29T09-52-21.pdf,61.763671875,1,python
DeVonDaTa,/Volumes/DeVonDaTa/Archived_Projects/Backup_Data/Backups/Documents/craft/PDFs/Imported Notes/MacAutomation_Insights_2025-QKULnftiXZ.pdf,MacAutomation_Insights_2025-QKULnftiXZ.pdf,1638.4697265625,1,automation
DeVonDaTa,/Volumes/DeVonDaTa/PDF/ChaplinskiProfile.pdf,ChaplinskiProfile.pdf,35.080078125,1,chaplinski
DeVonDaTa,/Volumes/DeVonDaTa/PDF/My Pythons.pdf,My Pythons.pdf,324.3955078125,1,python
DeVonDaTa,/Volumes/DeVonDaTa/PDF/tiktok-bestselling-automation.pdf,tiktok-bestselling-automation.pdf,920.787109375,1,automation
DeVonDaTa,/Volumes/DeVonDaTa/PDF/e0f9a250-a9ed-4fa4-91b4-0da9aac86cac_QuantumForgeLabs.pdf,e0f9a250-a9ed-4fa4-91b4-0da9aac86cac_QuantumForgeLabs.pdf,1372.1875,1,quantumforge
DeVonDaTa,/Volumes/DeVonDaTa/PDF/steven-bio-Profile_1.pdf,steven-bio-Profile_1.pdf,49.4921875,1,steven
DeVonDaTa,/Volumes/DeVonDaTa/PDF/Analysis_of_Surname_Chaplinski_2025-08-30_21_37_07.pdf,Analysis_of_Surname_Chaplinski_2025-08-30_21_37_07.pdf,197.951171875,1,chaplinski
DeVonDaTa,/Volumes/DeVonDaTa/PDF/Chaplinski_family_history.pdf,Chaplinski_family_history.pdf,125.296875,1,chaplinski
DeVonDaTa,/Volumes/DeVonDaTa/PDF/Uploading_Videos_to_YouTube_Using_Python_and_OAuth_2.0_A_Step-by-Step_Guide_with_Reauthentication_by_Py-Core_Python_Programming_Python_in_P.pdf,Uploading_Videos_to_YouTube_Using_Python_and_OAuth_2.0_A_Step-by-Step_Guide_with_Reauthentication_by_Py-Core_Python_Programming_Python_in_P.pdf,14245.6806640625,1,python
DeVonDaTa,/Volumes/DeVonDaTa/PDF/Analysis of _ichoake_python_ Repository.pdf,Analysis of _ichoake_python_ Repository.pdf,187.400390625,1,python
DeVonDaTa,/Volumes/DeVonDaTa/PDF/Product Launch and Monetization Plan Outline_ __Podcast-to-Video Automation Toolkit__.pdf,Product Launch and Monetization Plan Outline_ __Podcast-to-Video Automation Toolkit__.pdf,44.7548828125,1,automation
