Old Name,New Name,Services,Actions,Content Types,Purpose,Parent,Path
sort2(1).py,image-organizer.py,,organize,image,sort images,organize,_versions/FILE_MANAGEMENT/organize/sort2(1).py
organize(1)_3.py,organize.py,,organize,"data, file",copy files with structure,organize,_versions/FILE_MANAGEMENT/organize/organize(1)_3.py
upload(1).py,upload.py,,,,,upload,_versions/FILE_MANAGEMENT/upload/upload(1).py
main2(1).py,main.py,,generate,data,main,quiz,_versions/CONTENT_CREATION/quiz/main2(1).py
8mb(1).py,8mb-1.py,,,image,resize images in directory,image,_versions/MEDIA_PROCESSING/image/8mb(1).py
analyze-shorts-info(1).py,analyze-shorts-info.py,,,,,analyze,_versions/AI_TOOLS/analyze/analyze-shorts-info(1).py
__compat__.py,compat.py,,"analyze, upload",file, default exception debug action,lib_python3.11_site-packages_setuptools__vendor_pyparsing,leonardo/myenv/lib_python3.11_site-packages_setuptools__vendor_pyparsing/__compat__.py
__config_flags.py,config-flags.py,,download,, collapse string to ranges,lib_python3.11_site-packages_pip__vendor_pyparsing,leonardo/myenv/lib_python3.11_site-packages_pip__vendor_pyparsing/__config_flags.py
__compat__.py,compat.py,,"analyze, upload",file, default exception debug action,lib_python3.11_site-packages_pip__vendor_pyparsing,leonardo/myenv/lib_python3.11_site-packages_pip__vendor_pyparsing/__compat__.py
youtube__implementation.py,youtube-implementation.py,youtube,,data,module containing bug report helper(s),requests,leonardo/myenv/lib/python3.11/site-packages/requests/youtube__implementation.py
NewUpload_20250607131239.py,youtube-video-downloadr.py,"youtube, requests","download, upload",video,get authenticated service,.history,Youtube/.history/NewUpload_20250607131239.py
NewUpload_20250607125012.py,youtube-video-downloadr.py,"youtube, requests","download, upload",video,get authenticated service,.history,Youtube/.history/NewUpload_20250607125012.py
NewUpload_20250607124910.py,newupload.py,,upload,,,.history,Youtube/.history/NewUpload_20250607124910.py
NewUpload_20250607131031.py,newupload.py,,,,,.history,Youtube/.history/NewUpload_20250607131031.py
NewUpload_20250607131227.py,newupload.py,,,,,.history,Youtube/.history/NewUpload_20250607131227.py
NewUpload_20250607130507.py,youtube-video-downloadr.py,"youtube, requests","download, upload",video,get authenticated service,.history,Youtube/.history/NewUpload_20250607130507.py
NewUpload_20250607131212.py,youtube-video-downloadr.py,"youtube, requests","download, upload",video,get authenticated service,.history,Youtube/.history/NewUpload_20250607131212.py
NewUpload_20250607131221.py,newupload.py,,,,,.history,Youtube/.history/NewUpload_20250607131221.py
NewUpload_20250607131215.py,newupload.py,,,,,.history,Youtube/.history/NewUpload_20250607131215.py
NewUpload_20250607131205.py,newupload.py,,,,,.history,Youtube/.history/NewUpload_20250607131205.py
NewUpload_20250607130440.py,youtube-video-downloadr.py,"youtube, requests","download, upload",video,get authenticated service,.history,Youtube/.history/NewUpload_20250607130440.py
NewUpload_20250607131235.py,youtube-video-downloadr.py,"youtube, requests","download, upload",video,get authenticated service,.history,Youtube/.history/NewUpload_20250607131235.py
NewUpload_20250607131149.py,youtube-video-downloadr.py,"youtube, requests","download, upload",video,get authenticated service,.history,Youtube/.history/NewUpload_20250607131149.py
NewUpload_20250607124913.py,youtube-video-downloadr.py,"youtube, requests","download, upload",video,get authenticated service,.history,Youtube/.history/NewUpload_20250607124913.py
NewUpload_20250607131028.py,newupload.py,,,,,.history,Youtube/.history/NewUpload_20250607131028.py
NewUpload_20250607125040.py,youtube-video-downloadr.py,"youtube, requests","download, upload",video,get authenticated service,.history,Youtube/.history/NewUpload_20250607125040.py
