original,docstring,comment,patterns,lines
script_1.py,,Copyright (c) 2014 Google Inc. All rights reserved.,,124
script_100.py,"Utility functions for finding modules

Utility functions for finding modules on sys.path.","Copyright (c) 2011, the IPython Development Team.",,72
script_101.py,"Content Analyzer - Analyze and sort markdown files by content quality and relevance
Shows actual con",!/usr/bin/env python3,openai,123
script_103.py,,# Check for API key,openai,85
script_104.py,,,instagram,46
script_106.py,,Load environment variables from .env (make sure your OPENAI_API_KEY is stored here),"openai,whisper",126
script_108.py,,,instagram,115
script_11.py,,,"image,upscale",46
script_110.py,,!/usr/bin/env python3,,98
script_111.py,,,,27
script_112.py,,!/usr/bin/env python3,,137
script_114.py,,,,38
script_115.py,,,,105
script_116.py,"Tests that work on both the Python and C engines but do not have a
specific classification into the ",,csv,72
script_117.py,,Directory paths,,77
script_118.py,,#: the open file descriptor,,142
script_12.py,,,,115
script_120.py,"Merged Content Analysis Tool

This file was automatically merged from the following source files:
- ",Imports from all source files,csv,37
script_121.py,,!/usr/bin/env python3,,134
script_122.py,,,,188
script_123.py,,# Check for both JPG and PNG extensions,image,64
script_124.py,,# Strict type checking on our parameters.,,126
script_126.py,,Configure logging,,155
script_127.py,,,,18
script_128.py,,# Create the target directory if it doesn't exist,image,60
script_129.py,,,,87
script_13.py,author: abhilasha_lodha,,,35
script_130.py,,====== SYNC METHODS ======,,157
script_131.py,,Setup basic logging,"openai,whisper",112
script_132.py,,,,156
script_133.py,,"Create a corrected drop-in script (argparse-based), a batch runner, and zip them for the user.","openai,whisper",133
script_134.py,,!/usr/bin/env python3,"openai,csv",132
script_138.py,,,instagram,148
script_139.py,,!/usr/bin/env python3,youtube,110
script_14.py,,,,105
script_140.py,,Initialize the OpenAI client,"openai,csv",40
script_141.py,,,"image,upscale",177
script_142.py,,Configure logging,"youtube,csv",124
script_144.py,,,,139
script_145.py,,!/usr/bin/env python3,"openai,whisper,youtube,csv",135
script_146.py,,!/usr/bin/env python3,,130
script_147.py,,,,99
script_148.py,,!/usr/bin/env python3,"openai,csv",78
script_150.py,,# Assuming 'Question' is the column name,csv,20
script_152.py,,Prompt the user to input the OpenAI API key if it's not found in environment variables,openai,119
script_153.py,,Configure logging,,194
script_154.py,"Content Research Agent - Intelligent Content Analysis and Framework Builder
========================",!/usr/bin/env python3,,143
script_155.py,Example usage of the Transcription Analyzer,Load environment variables from ~/.env.d/,openai,97
script_156.py,,!/usr/bin/env python3,openai,114
script_157.py,"Skill Packager - Creates a distributable zip file of a skill folder

Usage:
    python utils/package",!/usr/bin/env python3,,110
